Age,Screen_Time,Phone_Unlocks,Social_Media_Usage,Gaming_Hours,Streaming_Hours,Messaging_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Anxiety_Score,Stress_Level,Age_First_Phone,Notifications_Per_Day
32,5.81,75,0.84,-1.55,3.36,1.44,5.22,1.32,61.47,23.72,95.8,16,106
26,9.05,61,3.13,2.5,0.8,2.42,6.23,0.66,96.11,39.72,25.03,12,111
70,5.76,58,2.12,1.96,1.84,1.98,6.57,1.93,73.68,94.47,99.54,18,90
44,6.71,80,1.6,2.7,1.9,2.43,7.27,0.94,53.42,5.03,66.49,17,60
46,6.31,136,1.51,1.73,1.48,1.3,5.43,1.04,67.01,17.29,14.72,18,127
34,8.94,129,2.28,2.49,0.97,1.39,6.21,1.14,25.15,65.54,63.04,8,78
51,4.18,65,1.75,2.07,0.33,1.58,4.84,1.33,4.94,80.16,83.2,11,82
68,10.05,87,2.13,2.99,1.67,2.06,6.81,1.43,44.33,20.94,62.53,12,102
33,7.45,50,2.02,0.49,2.41,1.6,6.54,1.4,55.45,95.1,95.94,8,85
38,6.87,95,2.27,0,2.44,1.37,6.04,1.55,85.13,4.32,33.65,14,120
36,5.87,94,1.46,2.47,2.14,1.36,5.41,0.61,43.34,36.97,9.31,8,70
34,8.09,86,2.58,1.89,2.42,0.98,6.52,0.79,7.35,43.44,69.66,13,95
18,5.01,75,1.12,0.69,1.26,1.63,7.42,1.4,88.7,24.99,23.15,8,112
49,5.22,62,3.16,2.58,2.25,1.02,6.26,0.33,11.29,83.12,79.94,17,98
62,9.32,69,2.64,0.78,1.55,1.21,7.1,0.56,28.51,25.05,77.97,16,116
58,4.68,108,2.43,1.86,4.63,2.34,6.21,1.11,80.67,42.45,16.43,16,93
51,8.19,47,1.29,1.72,1.44,1.16,6.34,0.35,99.02,41.98,77.2,12,149
18,6.06,68,1.38,-0.52,1.27,1.99,6.68,1.07,61.56,48.92,41.25,13,12
33,5.79,47,-0.22,0.34,1.88,1.23,4.86,1.11,28.44,15.42,16.75,11,99
22,5.64,99,2.87,0.51,2.44,1.11,6.29,0.77,34.91,76.13,72.57,20,52
67,5.85,55,2.2,0.11,1.7,0.44,7.27,0.46,24.76,43.02,29,18,40
15,6.28,129,1.39,2.58,1.65,1.82,6.58,1.12,71.66,78.81,62.92,18,124
12,4.43,77,1.25,0.81,1.11,1.58,4.43,1.27,24.99,84.19,64.97,16,125
47,4.58,94,3.55,2.35,0.58,1.9,5.93,1.11,63.32,16,78.69,14,193
59,8.01,109,0.84,1.82,1.55,1.8,4.92,0.53,75.96,58.81,56.49,10,102
14,-0.06,124,2.58,0.22,1.15,1.9,6.71,0.31,42.89,3.62,45.07,15,100
17,7.96,21,2.48,1.25,3.64,1.13,5.76,0.58,23.22,67.5,31.97,16,81
18,4.42,79,1.3,3.61,1.52,1.43,4.39,1.65,94.47,23.06,37.18,13,110
16,5.36,86,1.94,1.09,1.76,0.63,5.92,0.7,22.59,51.7,97.24,16,80
54,4.15,90,0.56,-0.66,1.93,0.76,6.7,1.37,89.2,18.36,40.77,16,113
46,10.78,42,3.4,2.39,2.24,1.06,6.35,0.26,67.33,87.38,97.16,8,48
18,4.27,105,0.47,1.87,2.34,1.44,5.48,0.26,36.6,1.04,36.4,11,97
40,7.94,65,0.61,1.54,3.28,0.9,6.25,0.55,18.91,55.54,75.19,20,125
17,6.01,95,2.4,2.31,1.83,1.15,4.71,0.98,82.92,95.53,64.49,8,116
50,5.26,105,2.16,2.41,2.47,0.63,6.57,2,80.94,17.27,65.33,10,70
18,3.89,61,1.17,0.34,1.4,2.79,7.26,1.17,66.65,62.7,24.48,13,107
54,5.17,7,3.29,-0.5,0.04,1.52,5.07,1.63,57.16,77.56,95.05,11,166
59,6.01,16,4.17,0.7,4.16,1.51,6.38,1.22,61.62,6.22,72.13,14,124
49,6.45,107,1.81,0.71,1.23,2.17,5.63,1.48,1.02,74.55,8.49,15,50
47,4.56,115,1.83,0.31,1.66,1.25,7.09,1.41,26.41,72.11,98.84,15,61
38,4.88,85,3.66,-0.02,2.25,1.66,5.72,1.36,58.5,63.54,99.88,9,111
17,5.56,58,2.67,1.92,3.25,2.16,5.67,1.54,78.56,89.73,63.77,18,28
47,9.18,88,2.81,1.21,3.73,2.01,6.09,1.18,79.83,98.4,76.86,19,160
62,6.87,53,2.69,2.99,1.73,1.26,5.68,1.07,55.67,81.09,65.26,18,89
42,7.72,108,0.72,0.48,4.21,1.73,7.42,2.19,63.37,95.69,89.11,15,139
